ITEM|SUBORD|LOC|BOMNUM|OFFSET|EFF|DISC|DRAWQTY|YIELDCAL|YIELDFACTOR|U_INTEL_BOMID|U_PLANMODULE
100000000005|100000000107|1004|305|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000005_1004|100||BY_IF
100000000005|100000000107|1011|306|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000005_1011|100||BY_IF
100000000004|100000000006|1004|303|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000004_1004|100||BY_IF
100000000004|100000000006|1011|304|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000004_1011|100||BY_IF
100000000107|2000-291-742|1004|310|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000107_1004|100||BY_IF
100000000107|2000-291-742|1011|311|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000107_1011|100||BY_IF
100000000006|2000-291-749|1004|308|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000006_1004|100||BY_IF
100000000006|2000-291-749|1011|309|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000006_1011|100||BY_IF
2000-291-742|100000000036|1004|162|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-291-742_1004|100||BY_IF
2000-291-742|100000000035|1004|162|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-291-742_1004|100||BY_IF
2000-291-742|100000000025|1004|162|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-291-742_1004|100||BY_IF
2000-291-742|100000000036|1011|314|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-291-742_1011|100||BY_IF
2000-291-742|100000000035|1011|314|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-291-742_1011|100||BY_IF
2000-291-742|100000000025|1011|314|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-291-742_1011|100||BY_IF
2000-291-749|100000000036|1004|161|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-291-749_1004|100||BY_IF
