CAL|PATTERNSEQNUM|ATTRIBUTE|VALUE|STARTTIME|ENDTIME|U_PLANMODULE|Unnamed: 7|Unnamed: 8|Unnamed: 9|Unnamed: 10
IF_BOM_YCAL_100000000004_1004|202530|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202531|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202532|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202533|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202534|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202535|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202536|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202537|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202538|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202539|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202540|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202541|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202542|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202543|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202544|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202545|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202546|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202547|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202548|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202549|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202550|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202551|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202552|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202601|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202602|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202603|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202604|25|0.985|||BY_IF||||
IF_BOM_YCAL_100000000004_1004|202605|25|0.985|||BY_IF||||
