CAL|DESCR|PATTERNSW|TYPE|U_PLANMODULE
IF_BOM_YCAL_100000000005_1004|IF_BOM_YCAL_100000000005_1004|1|16|BY_IF
IF_BOM_YCAL_100000000005_1011|IF_BOM_YCAL_100000000005_1011|1|16|BY_IF
IF_BOM_YCAL_100000000004_1004|IF_BOM_YCAL_100000000004_1004|1|16|BY_IF
IF_BOM_YCAL_100000000004_1011|IF_BOM_YCAL_100000000004_1011|1|16|BY_IF
IF_BOM_YCAL_100000000107_1004|IF_BOM_YCAL_100000000107_1004|1|16|BY_IF
IF_BOM_YCAL_100000000107_1011|IF_BOM_YCAL_100000000107_1011|1|16|BY_IF
IF_BOM_YCAL_100000000006_1004|IF_BOM_YCAL_100000000006_1004|1|16|BY_IF
IF_BOM_YCAL_100000000006_1011|IF_BOM_YCAL_100000000006_1011|1|16|BY_IF
IF_BOM_YCAL_2000-291-742_1004|IF_BOM_YCAL_2000-291-742_1004|1|16|BY_IF
IF_BOM_YCAL_2000-291-742_1011|IF_BOM_YCAL_2000-291-742_1011|1|16|BY_IF
IF_BOM_YCAL_2000-291-749_1004|IF_BOM_YCAL_2000-291-749_1004|1|16|BY_IF
IF_BOM_YCAL_2000-291-749_1011|IF_BOM_YCAL_2000-291-749_1011|1|16|BY_IF
IF_BOM_YCAL_100000000008_1003|IF_BOM_YCAL_100000000008_1003|1|16|BY_IF
IF_BOM_YCAL_100000000008_1006|IF_BOM_YCAL_100000000008_1006|1|16|BY_IF
IF_BOM_YCAL_2000-288-671_1003|IF_BOM_YCAL_2000-288-671_1003|1|16|BY_IF
IF_BOM_YCAL_2000-288-671_1006|IF_BOM_YCAL_2000-288-671_1006|1|16|BY_IF
IF_BOM_YCAL_2000-288-677_1003|IF_BOM_YCAL_2000-288-677_1003|1|16|BY_IF
IF_BOM_YCAL_2000-288-677_1006|IF_BOM_YCAL_2000-288-677_1006|1|16|BY_IF
IF_BOM_YCAL_2000-288-665_1003|IF_BOM_YCAL_2000-288-665_1003|1|16|BY_IF
IF_BOM_YCAL_2000-288-665_1006|IF_BOM_YCAL_2000-288-665_1006|1|16|BY_IF
IF_BOM_YCAL_2000-288-661_1003|IF_BOM_YCAL_2000-288-661_1003|1|16|BY_IF
IF_BOM_YCAL_2000-288-661_1006|IF_BOM_YCAL_2000-288-661_1006|1|16|BY_IF
IF_BOM_YCAL_2000-295-273_1003|IF_BOM_YCAL_2000-295-273_1003|1|16|BY_IF
IF_BOM_YCAL_2000-295-273_1006|IF_BOM_YCAL_2000-295-273_1006|1|16|BY_IF
IF_BOM_YCAL_2000-288-667_1003|IF_BOM_YCAL_2000-288-667_1003|1|16|BY_IF
IF_BOM_YCAL_2000-288-667_1006|IF_BOM_YCAL_2000-288-667_1006|1|16|BY_IF
IF_BOM_YCAL_100000000009_1003|IF_BOM_YCAL_100000000009_1003|1|16|BY_IF
IF_BOM_YCAL_100000000009_1006|IF_BOM_YCAL_100000000009_1006|1|16|BY_IF
IF_BOM_YCAL_100000000110_1003|IF_BOM_YCAL_100000000110_1003|1|16|BY_IF
IF_BOM_YCAL_100000000110_1006|IF_BOM_YCAL_100000000110_1006|1|16|BY_IF
IF_BOM_YCAL_100000000111_1003|IF_BOM_YCAL_100000000111_1003|1|16|BY_IF
IF_BOM_YCAL_100000000111_1006|IF_BOM_YCAL_100000000111_1006|1|16|BY_IF
IF_BOM_YCAL_100000000112_1003|IF_BOM_YCAL_100000000112_1003|1|16|BY_IF
IF_BOM_YCAL_100000000112_1006|IF_BOM_YCAL_100000000112_1006|1|16|BY_IF
