CUST|DESCR|U_HIERCOL1|U_HIERCOL2|U_HIERCOL3|U_CUST_TIER|U_DMDGROUP_LVL1|ENABLEOPT
ALL_CUSTOMERS|ALL_CUSTOMERS| | | |2|NONE|1
6200000233|6200000233|JONTESTNAME|JONTESTNAME AUTO|JONTESTNAME AUTO|1|ALL_CUSTOMERS|1
6100223577|6100223577|MYKONOS|MYKONOS CONSUMER|MYKONOS CONSUMER|1|ALL_CUSTOMERS|1
6200000065|6200000065|LUZON|LUZON CONSUMER|LUZON CONSUMER|1|ALL_CUSTOMERS|1
6200000058|6200000058|ARAURA|ARAURA COMPUTING|ARAURA COMPUTING|1|ALL_CUSTOMERS|1
6200000057|6200000057|ANGUILLA|ANGUILLA SEMICONDUCTOR|ANGUILLA SEMICONDUCTOR|1|ALL_CUSTOMERS|1
6100223600|6100223600|CAICOS|CAICOS SEMICONDUCTOR|CAICOS SEMICONDUCTOR|1|ALL_CUSTOMERS|1
6100228384|6100228384|SPIRE|SPIRE MOBILE|SPIRE MOBILE|1|ALL_CUSTOMERS|1
6046430985|6046430985|CAICOS|CAICOS SEMICONDUCTOR|CAICOS SEMICONDUCTOR|1|ALL_CUSTOMERS|1
6200000256|6200000256|MINDYTEST CODENAME|MINDYTEST SEMICONDUCTOR|MINDYTEST SEMICONDUCTOR|2|ALL_CUSTOMERS|1
6200000232|6200000232|WISTRON|WISTRON AUTOMOTIVE|WISTRON AUTOMOTIVE|1|ALL_CUSTOMERS|1
6200000061|6200000061|BITDOUGH|BITDOUGH CRYPTO|BITDOUGH CRYPTO|1|ALL_CUSTOMERS|1
6100219441|6100219441|CAICOS|CAICOS SEMICONDUCTOR|CAICOS SEMICONDUCTOR|1|ALL_CUSTOMERS|1
6200000110|6200000110|BIRD|BIRD COMPUTING|BIRD COMPUTING|1|ALL_CUSTOMERS|1
6200000231|6200000231|STRATUS|STRATUS AUTOMOTIVE|STRATUS AUTOMOTIVE|1|ALL_CUSTOMERS|1
6200000073|6200000073|WEST|WEST SEMICONDUCTOR|WEST SEMICONDUCTOR|1|ALL_CUSTOMERS|1
6200000072|6200000072|INTEL PRODUCTS GROUP|INTEL PRODUCTS GROUP SEMICONDUCTOR|INTEL PRODUCTS GROUP SEMICONDUCTOR|1|ALL_CUSTOMERS|1
6200000064|6200000064|HAITI|HAITI COMPUTING|HAITI COMPUTING|1|ALL_CUSTOMERS|1
6200000159|6200000159|IFS ANAFI|IFS ANAFI SEMICONDUCTOR|IFS ANAFI SEMICONDUCTOR|1|ALL_CUSTOMERS|1
6200000155|6200000155|ASAHI|ASAHI CRYPTO|ASAHI CRYPTO|1|ALL_CUSTOMERS|1
6200000063|6200000063|FUTUNA|FUTUNA COMPUTING|FUTUNA COMPUTING|1|ALL_CUSTOMERS|1
6200000062|6200000062|BORNEO|BORNEO NETWORKING|BORNEO NETWORKING|1|ALL_CUSTOMERS|1
6200000197|6200000197|CLOUD|CLOUD AUTO|CLOUD AUTO|1|ALL_CUSTOMERS|1
6200000069|6200000069|SPIRE|SPIRE MOBILE|SPIRE MOBILE|1|ALL_CUSTOMERS|1
6200000068|6200000068|PYRENEES|PYRENEES COMPUTING|PYRENEES COMPUTING|1|ALL_CUSTOMERS|1
6100220618|6100220618|ISLAY|ISLAY COMPUTING|ISLAY COMPUTING|1|ALL_CUSTOMERS|1
6100223671|6100223671|HORSE CREEK|HORSE CREEK SEMICONDUCTOR|HORSE CREEK SEMICONDUCTOR|1|ALL_CUSTOMERS|1
6200000059|6200000059|AWAVE|AWAVE COMPUTING|AWAVE COMPUTING|1|ALL_CUSTOMERS|1
6200000171|6200000171|CLOUD|CLOUD AUTO|CLOUD AUTO|1|ALL_CUSTOMERS|1
6100228719|6100228719|AMRITA|AMRITA COMPUTING|AMRITA COMPUTING|1|ALL_CUSTOMERS|1
6100228464|6100228464|CAICOS|CAICOS COMPUTING|CAICOS COMPUTING|1|ALL_CUSTOMERS|1
6100222978|6100222978|FICHU|FICHU CRYPTO|FICHU CRYPTO|1|ALL_CUSTOMERS|1
6200000252|6200000252|MINDYTEST2 SEMICONDUCTOR|MINDYTEST2 SEMICONDUCTOR|MINDYTEST2 SEMICONDUCTOR|2|ALL_CUSTOMERS|1
6100227323|6100227323|LEUCITE|LEUCITE CONSULTING|LEUCITE CONSULTING|1|ALL_CUSTOMERS|1
6200000188|6200000188|MARVEL DIS|MARVEL DIS SEMICONDUCTOR|MARVEL DIS SEMICONDUCTOR|1|ALL_CUSTOMERS|1
6200000157|6200000157|DORITOS|DORITOS COMPUTING|DORITOS COMPUTING|1|ALL_CUSTOMERS|1
6100224392|6100224392|PLUTUS|PLUTUS CRYPTO|PLUTUS CRYPTO|1|ALL_CUSTOMERS|1
6100220323|6100220323|CAICOS|CAICOS COMPUTING|CAICOS COMPUTING|1|ALL_CUSTOMERS|1
6200000066|6200000066|LYONS|LYONS MAG|LYONS MAG|1|ALL_CUSTOMERS|1
6200000071|6200000071|ANAFI|ANAFI SEMICONDUCTOR|ANAFI SEMICONDUCTOR|1|ALL_CUSTOMERS|1
6200000259|6200000259|TEST|TEST|TEST|2|ALL_CUSTOMERS|1
6100225853|6100225853|DELANEY|DELANEY AUTOMOTIVE|DELANEY AUTOMOTIVE|1|ALL_CUSTOMERS|1
6200000074|6200000074|ZINCITE|ZINCITE NETWORKING|ZINCITE NETWORKING|1|ALL_CUSTOMERS|1
6200000208|6200000208|CAICOS|CAICOS COMPUTING|CAICOS COMPUTING|2|ALL_CUSTOMERS|1
6100211551|6100211551|AMRITA|AMRITA NETWORKING|AMRITA NETWORKING|1|ALL_CUSTOMERS|1
6200000148|6200000148|CRACKER|CRACKER MEDICAL|CRACKER MEDICAL|1|ALL_CUSTOMERS|1
6200000238|6200000238|ANIMAL GROUP|ANIMAL SEMICONDUCTOR|ANIMAL SEMICONDUCTOR|1|ALL_CUSTOMERS|1
6100227783|6100227783|NGUNA|NGUNA SEMICONDUCTOR|NGUNA SEMICONDUCTOR|1|ALL_CUSTOMERS|1
6100221345|6100221345|GORGONA|GORGONA COMPUTING|GORGONA COMPUTING|1|ALL_CUSTOMERS|1
