ITEM|SKULOC|DMDGROUP|STARTDATE|TOTFCST|TYPE|DUR
100000000004|VF|6200000072|30-08-2025|74|11|10080
100000000004|VF|6200000072|13-09-2025|25|11|10080
100000000004|VF|6200000072|25-10-2025|25|11|10080
100000000004|VF|6200000072|06-09-2025|49|11|10080
100000000004|VF|6200000072|20-09-2025|25|11|10080
100000000004|VF|6200000072|06-12-2025|49|11|10080
100000000004|VF|6200000072|22-11-2025|98|11|10080
100000000004|VF|6200000072|27-09-2025|25|11|10080
100000000004|VF|6200000072|23-08-2025|49|11|10080
100000000004|VF|6200000072|02-08-2025|49|11|10080
100000000004|VF|6200000072|26-07-2025|49|11|10080
100000000004|VF|6200000072|04-10-2025|25|11|10080
100000000004|VF|6200000072|16-08-2025|25|11|10080
100000000004|VF|6200000072|09-08-2025|49|11|10080
100000000004|VF|6200000072|18-10-2025|49|11|10080
100000000005|VF|6200000072|30-08-2025|74|11|10080
100000000005|VF|6200000072|13-09-2025|25|11|10080
100000000005|VF|6200000072|25-10-2025|25|11|10080
100000000005|VF|6200000072|06-09-2025|49|11|10080
100000000005|VF|6200000072|20-09-2025|25|11|10080
100000000005|VF|6200000072|06-12-2025|49|11|10080
100000000005|VF|6200000072|22-11-2025|98|11|10080
100000000005|VF|6200000072|27-09-2025|25|11|10080
100000000005|VF|6200000072|23-08-2025|49|11|10080
100000000005|VF|6200000072|02-08-2025|49|11|10080
100000000005|VF|6200000072|26-07-2025|49|11|10080
100000000005|VF|6200000072|04-10-2025|25|11|10080
100000000005|VF|6200000072|16-08-2025|25|11|10080
100000000005|VF|6200000072|09-08-2025|49|11|10080
100000000005|VF|6200000072|18-10-2025|49|11|10080
100000000008|VF|6200000072|30-08-2025|74|11|10080
100000000008|VF|6200000072|13-09-2025|25|11|10080
100000000008|VF|6200000072|25-10-2025|25|11|10080
100000000008|VF|6200000072|06-09-2025|49|11|10080
100000000008|VF|6200000072|20-09-2025|25|11|10080
100000000008|VF|6200000072|06-12-2025|49|11|10080
100000000008|VF|6200000072|22-11-2025|98|11|10080
