ITEM|DESCR|ITEMCLASS|U_UOM|U_LONG_DESCR|U_STATUS|U_MAT_TYPE_CD|U_PROCESS_NM|U_PROCESSNODEUPPERCASE_TXT|U_PRODUCTNBR|U_CAPACITY_GROUP|U_CAPACITY_CORRIDOR|U_PS_DOT_PROCESS|U_MM_CODE_NAME|U_ITEM_LVL1|ITEMLOCOPPARAM|U_VERTICAL_SEGMENT|U_MARKET_CODE_NAME|U_MFG_PKG_TECHNOLOGY|U_DIE_CODE_NAME|U_PRIMARY_SI_CODE_NAME|U_PRODUCT_LINE|U_DLCP_PROCESS_CODE|U_INTERNAL_STEPPING|U_INTERNAL_REVISION|U_MFG_DEVICE_NAME|U_PERFORMANCE_GRADE_CODE|U_SPEC_SEQUENTIAL_NUMBER|U_MFG_STAGE|U_FUNCTIONAL_DESIGN_NAME|U_PLANMODULE
ALL_PRODUCTS|ALL_PRODUCTS|ALL_PRODUCTS|WAF|NONE|PRODUCTION|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000004|PROC FINISH Processor|F_PROC_FINISH|ST|NONE|PRODUCTION|PROC|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000005|PROC FINISH Processor|F_PROC_FINISH|ST|NONE|PRODUCTION|PROC|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000107|PROC TEST Processor|F_PROC_TEST|ST|NONE|PRODUCTION|PROC|NONE|NONE|NONE|NONE|NONE|NONE|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000006|PROC TEST Processor|F_PROC_TEST|ST|NONE|PRODUCTION|PROC|NONE|NONE|NONE|NONE|NONE|NONE|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000008|PROC STACK Processor|F_PROC_STACK_SI|ST|NONE|PRODUCTION|PROC|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000009|PROC DIE PREP SOC Chip|F_PROC_DIE_PREP|DIE|NONE|PRODUCTION|PROC|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|METEOR LAKE-SCC-M|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000024|STACK SILICON Stacked|F_STACK_SILICON|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000025|STACK SILICON Stacked|F_STACK_SILICON|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|METEOR LAKE-BASE-P682|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
100000000026|DIE PREP SOC Chip|F_DIE_PREP|ST|NONE|PRODUCTION|UNBW|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N6.3|METEOR LAKE-SCC-M|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
