LOC|DESCR|COUNTRY|LOC_TYPE|U_SUPPLIER_CD|U_INT_EXT_SW|U_PLANMODULE
1001|Robert Noyce Building|US|2|1000005234|I|BY_IF
1002|Campus|SG|2|1000005234|I|BY_IF
1003|Ronler Acres Campus|US|2|1000005234|I|BY_IF
1004|Chandler Campus|US|2|1000005234|I|BY_IF
1005|Ocotillo Campus|US|2|1000005234|I|BY_IF
1006|Rio Rancho Campus|US|2|1000005234|I|BY_IF
1007|Heredia Campus|CR|2|1000005234|I|BY_IF
1008|Chengdu Campus|CN|2|1000005234|I|BY_IF
1009|Chengdu Bonded Whse|CN|2|1000005234|I|BY_IF
1010|Leixlip Campus|IE|2|1000005234|I|BY_IF
1011|Saigon Campus|VN|2|1000005234|I|BY_IF
1012|Penang Campus|MY|2|1000005234|I|BY_IF
1013|Penang Campus|MY|2|1000005234|I|BY_IF
1014|Kiryat Gat Campus|IL|2|1000005234|I|BY_IF
1015|Kulim Campus|MY|2|1000005234|I|BY_IF
1016|Intel Corporation|US|2|1000005234|I|BY_IF
1017|Intel Corporation|US|2|1000005234|I|BY_IF
1020|Aloha Campus|US|2|1000005234|I|BY_IF
1029|A90-CC763|VN|2|1000005234|I|BY_IF
1031|Campus|US|2|1000005234|I|BY_IF
4003|Campus|US|2|1000005234|I|BY_IF
4050|Campus|US|2|1000005234|I|BY_IF
VF|Virtual Location|US|2|VF_SUPPL_ID|I|BY_IF
VF_R|Virtual Loc for Res|US|2|VF_R_SUPPL_ID|I|BY_IF
VF_S|Virtual Loc for Supplier|US|1|VF_S_SUPPL_ID|E|BY_IF
VF_W|Virtual Loc for Warehouse|US|2|VF_W_SUPPL_ID|I|BY_IF
TLOC|Virtual Loc for Cross Site|US|2|TLOC_SUPPL_ID|I|BY_IF
