SOURCE|DEST|TRANSMODE|TRANSLEADTIME|LEADTIMEEFFCNYCAL|U_PLANMODULE
1003|VF|IFTransmode|0||BY_IF
1011|VF|IFTransmode|0||BY_IF
1020|VF|IFTransmode|0||BY_IF
1020|1003|IFTransmode|10080||BY_IF
1017|VF|IFTransmode|0||BY_IF
VF_S|1004|IFTransmode|10080||BY_IF
1029|1004|IFTransmode|10080||BY_IF
1006|1004|IFTransmode|10080||BY_IF
1006|1017|IFTransmode|10080||BY_IF
1003|1017|IFTransmode|10080||BY_IF
1011|1004|IFTransmode|10080||BY_IF
1004|VF|IFTransmode|0||BY_IF
1020|1006|IFTransmode|10080||BY_IF
1004|1011|IFTransmode|10080||BY_IF
1029|1011|IFTransmode|10080||BY_IF
1003|1006|IFTransmode|10080||BY_IF
1006|1003|IFTransmode|10080||BY_IF
1006|VF|IFTransmode|0||BY_IF
1006|VF_S|IFTransmode|0||BY_IF
1006|1020|IFTransmode|10080||BY_IF
1003|1020|IFTransmode|10080||BY_IF
1004|1029|IFTransmode|10080||BY_IF
