ITEM|LOC|PRODUCTIONMETHOD|DESCR|BOMNUM|EFF|DISC|LEADTIME|LEADTIMEEFFCNYCAL|NONEWSUPPLYDATE|PRIORITY|INCQTY|SPLITFACTOR|U_PLANMODULE
100000000005|1004|100000000005_1004_305|100000000005_1004_305|305|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000000005|1011|100000000005_1011_306|100000000005_1011_306|306|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000000004|1004|100000000004_1004_303|100000000004_1004_303|303|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000000004|1011|100000000004_1011_304|100000000004_1011_304|304|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000000107|1004|100000000107_1004_310|100000000107_1004_310|310|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000000107|1011|100000000107_1011_311|100000000107_1011_311|311|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000000006|1004|100000000006_1004_308|100000000006_1004_308|308|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000000006|1011|100000000006_1011_309|100000000006_1011_309|309|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-291-742|1004|2000-291-742_1004_162|2000-291-742_1004_162|162|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-291-742|1011|2000-291-742_1011_314|2000-291-742_1011_314|314|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-291-749|1004|2000-291-749_1004_161|2000-291-749_1004_161|161|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-291-749|1011|2000-291-749_1011_313|2000-291-749_1011_313|313|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
100000000008|1003|100000000008_1003_285_PV1|100000000008_1003_285_PV1|285|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
