ITEM|LOC|PRODUCTIONMETHOD|STEPNUM|EFF|RES|PRODRATE|PRODRATECAL|PRODDUR|NEXTSTEPTIMING|U_PLANMODULE
100000000005|1004|100000000005_1004_305|1|01-01-1970| |1.0||1440|1|BY_IF
100000000005|1004|100000000005_1004_305|2|01-01-1970|Capacity Envelope 1|1.0|PR_CAL_100000000005_1004_2|0|1|BY_IF
100000000005|1004|100000000005_1004_305|3|01-01-1970|CDAT envelop HPOb|1.0|PR_CAL_100000000005_1004_3|0|1|BY_IF
100000000005|1004|100000000005_1004_305|4|01-01-1970|CDAT envelop STHp|1.0|PR_CAL_100000000005_1004_4|0|1|BY_IF
100000000005|1004|100000000005_1004_305|5|01-01-1970|CD6_MTL U 2C+8A+GT1 15W|1.0||0|1|BY_IF
100000000005|1011|100000000005_1011_306|1|01-01-1970| |1.0||1440|1|BY_IF
100000000005|1011|100000000005_1011_306|2|01-01-1970|Capacity Envelope 2|1.0|PR_CAL_100000000005_1011_2|0|1|BY_IF
100000000005|1011|100000000005_1011_306|3|01-01-1970|CDAT envelop NSB-A|1.0|PR_CAL_100000000005_1011_3|0|1|BY_IF
100000000005|1011|100000000005_1011_306|4|01-01-1970|CD6_MTL U 2C+8A+GT1 15W|1.0||0|1|BY_IF
100000000004|1004|100000000004_1004_303|1|01-01-1970| |1.0||1440|1|BY_IF
100000000004|1004|100000000004_1004_303|2|01-01-1970|Capacity Envelope 1|1.0|PR_CAL_100000000004_1004_2|0|1|BY_IF
100000000004|1004|100000000004_1004_303|3|01-01-1970|CDAT envelop HPOb|1.0|PR_CAL_100000000004_1004_3|0|1|BY_IF
100000000004|1004|100000000004_1004_303|4|01-01-1970|CDAT envelop STHp|1.0|PR_CAL_100000000004_1004_4|0|1|BY_IF
100000000004|1004|100000000004_1004_303|5|01-01-1970|CD6_MTL U 2C+8A+GT1 15W|1.0||0|1|BY_IF
100000000004|1011|100000000004_1011_304|1|01-01-1970| |1.0||1440|1|BY_IF
100000000004|1011|100000000004_1011_304|2|01-01-1970|Capacity Envelope 2|1.0|PR_CAL_100000000004_1011_2|0|1|BY_IF
100000000004|1011|100000000004_1011_304|3|01-01-1970|CDAT envelop NSB-A|1.0|PR_CAL_100000000004_1011_3|0|1|BY_IF
100000000004|1011|100000000004_1011_304|4|01-01-1970|CD6_MTL U 2C+8A+GT1 15W|1.0||0|1|BY_IF
2000-288-671|1003|2000-288-671_1003_211|1|01-01-1970| |1.0||0|1|BY_IF
2000-288-671|1006|2000-288-671_1006_210|1|01-01-1970| |1.0||0|1|BY_IF
2000-288-677|1003|2000-288-677_1003_215|1|01-01-1970| |1.0||0|1|BY_IF
2000-288-677|1006|2000-288-677_1006_214|1|01-01-1970| |1.0||0|1|BY_IF
2000-288-665|1003|2000-288-665_1003_216|1|01-01-1970| |1.0||0|1|BY_IF
2000-288-665|1006|2000-288-665_1006_217|1|01-01-1970| |1.0||0|1|BY_IF
2000-288-661|1003|2000-288-661_1003_219|1|01-01-1970| |1.0||0|1|BY_IF
2000-288-661|1006|2000-288-661_1006_218|1|01-01-1970| |1.0||0|1|BY_IF
2000-295-273|1003|2000-295-273_1003_220|1|01-01-1970| |1.0||0|1|BY_IF
2000-295-273|1006|2000-295-273_1006_221|1|01-01-1970| |1.0||0|1|BY_IF
2000-288-667|1003|2000-288-667_1003_212|1|01-01-1970| |1.0||0|1|BY_IF
2000-288-667|1006|2000-288-667_1006_213|1|01-01-1970| |1.0||0|1|BY_IF
100000000009|1003|100000000009_1003_315|1|01-01-1970| |1.0||0|1|BY_IF
100000000009|1006|100000000009_1006_316|1|01-01-1970| |1.0||0|1|BY_IF
100000000110|1003|100000000110_1003_289|1|01-01-1970| |1.0||0|1|BY_IF
100000000110|1006|100000000110_1006_290|1|01-01-1970| |1.0||0|1|BY_IF
100000000111|1003|100000000111_1003_321|1|01-01-1970| |1.0||0|1|BY_IF
100000000111|1006|100000000111_1006_322|1|01-01-1970| |1.0||0|1|BY_IF
100000000112|1003|100000000112_1003_293|1|01-01-1970| |1.0||0|1|BY_IF
100000000112|1006|100000000112_1006_317|1|01-01-1970| |1.0||0|1|BY_IF
100000000113|1003|100000000113_1003_318|1|01-01-1970| |1.0||0|1|BY_IF
100000000113|1006|100000000113_1006_295|1|01-01-1970| |1.0||0|1|BY_IF
2000-281-391|1006|2000-281-391_1006_249|1|01-01-1970| |1.0||0|1|BY_IF
