ITEM|LOC|PURCHMETHOD|NONEWSUPPLYDATE|EFF|DISC|LEADTIME|U_PLANMODULE 
100000000036|1004|100000000036_1004_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000035|1004|100000000035_1004_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000025|1004|100000000025_1004_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000036|1029|100000000036_1029_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000035|1029|100000000035_1029_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000025|1029|100000000025_1029_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000024|1004|100000000024_1004_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000024|1029|100000000024_1029_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000026|1003|100000000026_1003_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000026|1006|100000000026_1006_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000027|1003|100000000027_1003_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000027|1006|100000000027_1006_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000028|1003|100000000028_1003_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000028|1006|100000000028_1006_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000029|1003|100000000029_1003_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000029|1006|100000000029_1006_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000030|1003|100000000030_1003_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000030|1006|100000000030_1006_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000031|1003|100000000031_1003_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000031|1006|100000000031_1006_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000032|1003|100000000032_1003_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000032|1006|100000000032_1006_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000033|1003|100000000033_1003_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000033|1006|100000000033_1006_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000034|1003|100000000034_1003_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
100000000034|1006|100000000034_1006_PURCH|07-07-2025|01-01-1970|01-01-9999|0|BY_IF
