RES|LOC|DESCR|TYPE|CAL|CHECKMAXCAP|STAGE|RELEASEFENCEDUR|PEGGINGSW|U_RESTYPE|U_HIERCOL_1|U_HIERCOL_2|U_PLANMODULE
Capacity Envelope 1|1004|Capacity Envelope 1|4|R_CAL_Capacity Envelope 1|4|AssyTestFinish|0|1|CAPACITY ENVELOPE|||BY_IF
CDAT envelop HPOb|1004|CDAT envelop HPOb|4|R_CAL_CDAT envelop HPOb|4|AssyTestFinish|0|1|CAPACITY ENVELOPE|||BY_IF
CDAT envelop STHp|1004|CDAT envelop STHp|4|R_CAL_CDAT envelop STHp|4|AssyTestFinish|0|1|CAPACITY ENVELOPE|||BY_IF
CD6_MTL U 2C+8A+GT1 15W|1004|CD6_MTL U 2C+8A+GT1 15W|4|R_CAL_CD6_MTL U 2C+8A+GT1 15W|4|AssyTestFinish|0|1|MAX CAPACITY ENVELOPE|||BY_IF
MTL_PROC_G1_PRODMIX_RES|VF_R|MTL_PROC_G1_PRODMIX_RES|4|R_CAL_PRODMIX_RES|1|AssyTestFinish|0|1|PROD MIX ENVELOPE|||BY_IF
MTL_PROC_G2_PRODMIX_RES|VF_R|MTL_PROC_G2_PRODMIX_RES|4|R_CAL_PRODMIX_RES|1|AssyTestFinish|0|1|PROD MIX ENVELOPE|||BY_IF
Capacity Envelope 2|1011|Capacity Envelope 2|4|R_CAL_Capacity Envelope 2|4|FINISH|0|1|CAPACITY ENVELOPE|||BY_IF
CDAT envelop NSB-A|1011|CDAT envelop NSB-A|4|R_CAL_CDAT envelop NSB-A|4|FIINISH|0|1|CAPACITY ENVELOPE|||BY_IF
Capacity Envelope 3|1012|Capacity Envelope 3|4|R_CAL_Capacity Envelope 3|4|TEST|0|1|CAPACITY ENVELOPE|||BY_IF
CDAT envelop NSB-B|1012|CDAT envelop NSB-B|4|R_CAL_CDAT envelop NSB-B|4|TEST|0|1|CAPACITY ENVELOPE|||BY_IF
Capacity Envelope 4|1029|Capacity Envelope 4|4|R_CAL_Capacity Envelope 4|4|ASSY|0|1|CAPACITY ENVELOPE|||BY_IF
CDAT envelop NSB-C|1029|CDAT envelop NSB-C|4|R_CAL_CDAT envelop NSB-C|4|ASSY|0|1|CAPACITY ENVELOPE|||BY_IF
RES_INTEL FOV-1_IFS_F21|1006|RES_INTEL FOV-1_IFS_F21|4|R_CAL_RES_INTEL FOV-1_IFS_F21|1|FAB|0|1|IFS PARTITION|INTEL FOV-1|CG-1227|BY_IF
RES_CG-1224_F21|1006|RES_CG-1224_F21|4|R_CAL_RES_CG-1224_F21|1|FAB|0|1|CAPACITY GROUP||CG-1224|BY_IF
