ITEM|LOC|SCHED_DATE|START_DT|SEQNUM|PRODUCTION_METHOD|EXPLODESW|QTY|QTYRECEIVED|U_PLANMODULE
100000000004|1012|01-09-2025|29-08-2025|1|100000000004_1012_304|0|847|847|BY_IF
100000000004|1004|05-09-2025|29-08-2025|2|100000000004_1004_303|0|847|847|BY_IF
100000000004|1004|07-09-2025|29-08-2025|3|100000000004_1004_303|1|534|534|BY_IF
100000000004|1004|08-09-2025|29-08-2025|4|100000000004_1004_303|1|907|907|BY_IF
100000000004|1004|12-09-2025|29-08-2025|5|100000000004_1004_303|0|847|847|BY_IF
100000000006|1011|31-08-2025|29-08-2025|6|100000000006_1011_309|0|693|693|BY_IF
100000000006|1004|05-09-2025|29-08-2025|7|100000000006_1004_308|0|693|693|BY_IF
100000000006|1004|02-09-2025|29-08-2025|8|100000000006_1004_308|1|1644|1644|BY_IF
100000000006|1004|03-09-2025|29-08-2025|9|100000000006_1004_308|1|951|951|BY_IF
2000-291-742|1004|31-08-2025|29-08-2025|10|2000-291-742_1004_162|0|617|617|BY_IF
2000-291-749|1029|01-09-2025|29-08-2025|11|2000-291-749_1029_313|0|938|938|BY_IF
2000-291-749|1004|01-09-2025|29-08-2025|12|2000-291-749_1004_161|0|1480|1480|BY_IF
2001-001-001|1011|31-08-2025|29-08-2025|13|2001-001-001_1011_389|0|1580|1580|BY_IF
2001-001-001|1004|04-09-2025|29-08-2025|14|2001-001-001_1004_388|0|1700|1700|BY_IF
2001-001-001|1004|11-09-2025|29-08-2025|15|2001-001-001_1004_388|0|1443|1443|BY_IF
2001-001-001|1004|04-09-2025|29-08-2025|16|2001-001-001_1004_388|1|899|899|BY_IF
2001-001-001|1004|07-09-2025|29-08-2025|17|2001-001-001_1004_388|1|813|813|BY_IF
