ITEM|SOURCE|DEST|SOURCING|TRANSMODE|EFF|DISC|PRIORITY|FACTOR|U_PLANMODULE
100000000004|1011|VF|100000000004_1011_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000004|1004|VF|100000000004_1004_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000005|1004|VF|100000000005_1004_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000005|1011|VF|100000000005_1011_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000008|1006|VF|100000000008_1006_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000008|1003|VF|100000000008_1003_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000009|1006|VF|100000000009_1006_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000009|1003|VF|100000000009_1003_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000110|1003|VF|100000000110_1003_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000110|1006|VF|100000000110_1006_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000111|1006|VF|100000000111_1006_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000111|1003|VF|100000000111_1003_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000112|1003|VF|100000000112_1003_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000112|1006|VF|100000000112_1006_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000113|1006|VF|100000000113_1006_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000000113|1003|VF|100000000113_1003_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000002011|1004|VF|100000002011_1004_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000002012|1017|VF|100000002012_1017_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000002013|1006|VF|100000002013_1006_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000002013|1006|1003|100000002013_1006_1003|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000002013|1006|1017|100000002013_1006_1017|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000002014|1020|VF|100000002014_1020_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000002014|1006|VF|100000002014_1006_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000002015|1006|VF|100000002015_1006_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
100000002016|1006|VF|100000002016_1006_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-001-049|1006|1003|2000-001-049_1006_1003|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-001-049|1020|1003|2000-001-049_1020_1003|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-001-050|1020|1003|2000-001-050_1020_1003|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-001-050|1006|1003|2000-001-050_1006_1003|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-280-868|1006|VF|2000-280-868_1006_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-280-868|1003|VF|2000-280-868_1003_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-280-869|1003|1020|2000-280-869_1003_1020|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-280-869|1006|1020|2000-280-869_1006_1020|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-281-396|1006|1020|2000-281-396_1006_1020|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-281-396|1003|1020|2000-281-396_1003_1020|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-281-424|1006|1003|2000-281-424_1006_1003|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-281-424|1020|1003|2000-281-424_1020_1003|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-281-446|1006|1003|2000-281-446_1006_1003|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-281-446|1020|1003|2000-281-446_1020_1003|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-281-452|1006|1003|2000-281-452_1006_1003|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-281-452|1020|1003|2000-281-452_1020_1003|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-285-609|1006|1020|2000-285-609_1006_1020|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-285-609|1003|1020|2000-285-609_1003_1020|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-285-610|1006|VF|2000-285-610_1006_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-285-610|1020|VF|2000-285-610_1020_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-285-677|1003|1020|2000-285-677_1003_1020|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-285-677|1006|1020|2000-285-677_1006_1020|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-309-414|1006|VF_S|2000-309-414_1006_VF_S|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
