ITEM|LOC|SEQNUM|CONSUMEDQTY|DMDGROUP|U_CUST_TIER|U_RTF_FLAG|NEEDDATE|MAXLATEDUR|QTY|PRIORITY|DUR|TYPE|U_UPSIDEFCSTPRIORITY|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
100000000004|VF|538|0|6200000072|1|1|02-MAY-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|539|0|6200000072|1|1|25-APR-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|540|0|6200000072|1|1|09-MAY-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|541|0|6200000072|1|1|16-MAY-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|542|0|6200000072|1|1|23-MAY-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|543|0|6200000072|1|1|30-MAY-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|544|0|6200000072|1|1|06-JUN-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|545|0|6200000072|1|1|13-JUN-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|546|0|6200000072|1|1|22-NOV-2025|0|38|510|10080|11|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|547|0|6200000072|1|1|20-JUN-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|548|0|6200000072|1|1|27-JUN-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|549|0|6200000072|1|1|21-FEB-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|550|0|6200000072|1|1|14-FEB-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|551|0|6200000072|1|1|06-DEC-2025|0|49|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|552|0|6200000072|1|1|13-DEC-2025|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|553|0|6200000072|1|1|04-JUL-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|554|0|6200000072|1|1|11-JUL-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|555|0|6200000072|1|1|07-MAR-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|556|0|6200000072|1|1|28-FEB-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|557|0|6200000072|1|1|20-DEC-2025|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|558|0|6200000072|1|1|27-DEC-2025|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|559|0|6200000072|1|1|18-JUL-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|560|0|6200000072|1|1|25-JUL-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|561|0|6200000072|1|1|21-MAR-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|562|0|6200000072|1|1|14-MAR-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|563|0|6200000072|1|1|03-JAN-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|564|0|6200000072|1|1|10-JAN-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|565|0|6200000072|1|1|04-APR-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|566|0|6200000072|1|1|28-MAR-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|567|0|6200000072|1|1|24-JAN-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|568|0|6200000072|1|1|17-JAN-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|569|0|6200000072|1|1|18-APR-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|570|0|6200000072|1|1|11-APR-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|571|0|6200000072|1|1|07-FEB-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|572|0|6200000072|1|1|31-JAN-2026|0|75|400|10080|10|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|601|0|6200000072|1|0|17-JUL-2027|0|75|1200|10080|13|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|602|0|6200000072|1|0|01-MAY-2027|0|75|1200|10080|13|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|603|0|6200000072|1|0|10-JUL-2027|0|75|1200|10080|13|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|604|0|6200000072|1|0|24-JUL-2027|0|75|1200|10080|13|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|605|0|6200000072|1|0|10-OCT-2026|0|75|1200|10080|13|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|606|0|6200000072|1|0|03-OCT-2026|0|75|1200|10080|13|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|607|0|6200000072|1|0|01-AUG-2026|0|75|1200|10080|13|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|608|0|6200000072|1|0|26-SEP-2026|0|75|1200|10080|13|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|609|0|6200000072|1|0|19-SEP-2026|0|75|1200|10080|13|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|610|0|6200000072|1|0|12-SEP-2026|0|75|1200|10080|13|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|VF|611|0|6200000072|1|0|05-SEP-2026|0|75|1200|10080|13|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
