SUPPLYITEM|SUPPLYITEM_DESCR|SUPPLYITEM_MMCODE|SUPPLYLOC|RELATEDSEQNUM|ID|DMDTYPE|SUPPLYTYPE|SUPPLYPEGQTY|DMDPEGQTY|SUPPLYSEQNUM|DMDITEM|DMDLOC|SUPPLYAVAILDATE|JIT_DATE|JIT_WW|DMDSCHEDDATE|DMDNEEDDATE|SIMULATION_NAME|SCHEDSEQNUM|SUPPLYMETHOD|CAPTURE_WK|SOLVE_VERSION
2000-288-671|STACK COMBO Stacked|METEOR LAKE-BASE-P682|1003|4434|1005|2|2|12.690355|12.5|2113|100000000008|1003|24-JAN-2026|||07-FEB-2026|07-FEB-2026|CONSTRAINED|7862|2000-288-671_1003_211|202547|CONSTRAINED_202547_2025-11-20_0706
100000000110|PROC DIE PREP SOC Foveros|METEOR LAKE-BASE-P682|1003|4439|1005|2|2|12.883609|12.5|1908|100000000008|1003|24-JAN-2026|||07-FEB-2026|07-FEB-2026|CONSTRAINED|7862|100000000110_1003_289|202547|CONSTRAINED_202547_2025-11-20_0706
100000000027|DIE PREP IO Device|METEOR LAKE-IOE-P|1003|4444|1005|2|12|.515345|.5|369|100000000008|1003|24-JAN-2026|||07-FEB-2026|07-FEB-2026|CONSTRAINED|7862|100000000027_1003_PURCH|202547|CONSTRAINED_202547_2025-11-20_0706
100000000034|SORT Foveros|METEOR LAKE-BASE-P682|1003|4448|1005|2|12|.523193|.500001|1751|100000000008|1003|24-JAN-2026|||07-FEB-2026|07-FEB-2026|CONSTRAINED|7862|100000000034_1003_PURCH|202547|CONSTRAINED_202547_2025-11-20_0706
100000000025|STACK SILICON Stacked|METEOR LAKE-BASE-P682|1004|4414|1256|2|12|78.478828|75|3842|100000000005|1004|24-JAN-2026|17-JAN-2026|202603|07-FEB-2026|07-FEB-2026|CONSTRAINED|7864|100000000025_1004_PURCH|202547|CONSTRAINED_202547_2025-11-20_0706
2001-001-001|Processor 288V S TRAY|LUNAR LAKE-BASE-M442|1004|4409|30|2|6|75|75|14|2001-001-001|1004|04-SEP-2025|31-JAN-2026|202605|31-JAN-2026|31-JAN-2026|CONSTRAINED|7866|2001-001-001_1004_388|202547|CONSTRAINED_202547_2025-11-20_0706
100000002004|DIE PREP Central Processor Unit|LUNAR LAKE-CPU-M442|1017|14253|584|2|12|77.301651|75|3468|100000002012|VF|17-JUL-2027|17-JUL-2027|202729|17-JUL-2027|17-JUL-2027|CONSTRAINED|8595|100000002004_1017_PURCH|202547|CONSTRAINED_202547_2025-11-20_0706
100000002011|PROC TEST Processor|LUNAR LAKE-BASE-M442|VF|14240|1506|2|1|75|75|2703|100000002011|VF|17-JUL-2027|17-JUL-2027|202729|17-JUL-2027|17-JUL-2027|CONSTRAINED|8596|100000002011_1004_VF|202547|CONSTRAINED_202547_2025-11-20_0706
100000002007|Substrate SUBCORE|SUBSTRATE|1004|14244|1506|2|12|62.872009|60.999996|2432|100000002011|VF|10-JUL-2027|10-JUL-2027|202728|17-JUL-2027|17-JUL-2027|CONSTRAINED|8596|100000002007_1004_PURCH|202547|CONSTRAINED_202547_2025-11-20_0706
100000000113|PROC DIE PREP Central Processor Unit|METEOR LAKE-CPU-68|VF|14234|874|2|1|75|75|4519|100000000113|VF|17-JUL-2027|17-JUL-2027|202729|17-JUL-2027|17-JUL-2027|CONSTRAINED|8597|100000000113_1006_VF|202547|CONSTRAINED_202547_2025-11-20_0706
2000-281-396|FAB Central Processor Unit|METEOR LAKE-CPU-68|1006|14238|874|2|2|78.478828|75|4612|100000000113|VF|17-JUL-2027|17-JUL-2027|202729|17-JUL-2027|17-JUL-2027|CONSTRAINED|8597|2000-281-396_1006_276|202547|CONSTRAINED_202547_2025-11-20_0706
2000-281-514|SORT Graphics Processor Unit|METEOR LAKE-GPU-P|1006|14231|807|2|2|76.142128|75|7606|100000000112|VF|18-JUL-2027|17-JUL-2027|202729|17-JUL-2027|17-JUL-2027|CONSTRAINED|8598|2000-281-514_1006_246|202547|CONSTRAINED_202547_2025-11-20_0706
2000-281-512|SORT IO Device|METEOR LAKE-IOE-P|1006|14226|675|2|2|76.142128|75|7415|100000000111|VF|18-JUL-2027|17-JUL-2027|202729|17-JUL-2027|17-JUL-2027|CONSTRAINED|8600|2000-281-512_1006_245|202547|CONSTRAINED_202547_2025-11-20_0706
100000000110|PROC DIE PREP SOC Foveros|METEOR LAKE-BASE-P682|1003|14222|771|2|2|75|75|1985|100000000110|VF|17-JUL-2027|17-JUL-2027|202729|17-JUL-2027|17-JUL-2027|CONSTRAINED|8601|100000000110_1003_289|202547|CONSTRAINED_202547_2025-11-20_0706
100000000009|PROC DIE PREP SOC Chip|METEOR LAKE-SCC-M|VF|13046|1214|2|1|75|75|6169|100000000009|VF|15-MAY-2027|15-MAY-2027|202720|15-MAY-2027|15-MAY-2027|CONSTRAINED|8769|100000000009_1006_VF|202547|CONSTRAINED_202547_2025-11-20_0706
100000000008|PROC STACK Processor|METEOR LAKE-BASE-P682|VF|12996|1094|2|1|37.5|37.5|1612|100000000008|VF|15-MAY-2027|15-MAY-2027|202720|15-MAY-2027|15-MAY-2027|CONSTRAINED|8770|100000000008_1003_VF|202547|CONSTRAINED_202547_2025-11-20_0706
