SEQNUM|BATCHNUM|PROCESSID|SOURCE|EXCEPTION|EXCEPTIONDATE|PRODUCTIONMETHOD|FUNCTIONNUM|WHEN|DESCR|USERID|FUNCTIONNAME|LOADQTY|SUPPLYQTY|RES|SOURCING|STEPNUM|LOC|ITEM|PRODFAMILY|REVIEWEDSTATUS|CATEGORY|SEVERITY|LASTUPDATEDON|LASTUPDATEDBY|DUR|OVERUTILQTY|UTILPCT|MINVAL|MAXVAL|SCHEDVAL|VIOLATIONVAL|GROUPNAME|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
1|50|11501| |5639|26-JUL-2025| |401|10-NOV-2025|Resource is not a Storage resource| |Generate Master Plan LpOpt|0|0| | |0| | | |1|525|3|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
64|50|11501| |6801|26-JUL-2025|2000-285-678_1020_421|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|49|0|RES_NO_SORT_RESOURCE_SAL_SAL| |1|1020|2000-285-678| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
66|50|11501| |6801|26-JUL-2025|2000-285-678_1020_421|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|49|0|RES_NO_SORT_RESOURCE_SAL_SAL| |1|1020|2000-285-678| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
87|50|11501| |6801|26-JUL-2025|2000-285-678_1020_421|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|49|0|RES_NO_SORT_RESOURCE_SAL_SAL| |1|1020|2000-285-678| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
89|50|11501| |6801|26-JUL-2025|2000-285-678_1020_421|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|49|0|RES_NO_SORT_RESOURCE_SAL_SAL| |1|1020|2000-285-678| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
92|50|11501| |6801|26-JUL-2025|2000-285-678_1020_421|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|49|0|RES_NO_SORT_RESOURCE_SAL_SAL| |1|1020|2000-285-678| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
126|50|11501| |6801|27-JUL-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|100|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
131|50|11501| |6801|08-AUG-2025|2000-281-514_1003_247|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_MTLGPUP_AR4| |4|1003|2000-281-514| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
146|50|11501| |6801|10-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
147|50|11501| |6801|10-AUG-2025|2000-281-427_1003_240|401|09-NOV-2025|Capacity| |Generate Master Plan LpOpt|50|0|RES_XIU_ARLSOCM_AR4| |4|1003|2000-281-427| |1|602|1|01-JAN-1970| |0|0|0|0|0|0|0| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
