FUNCTIONNAME|FUNCTIONNUM|DESCR|EXCEPTION|WHEN|USERID|EXCEPTIONDATE|SEQNUM|PARENTITEM|DEMANDQTY|LOC|ITEM|BATCHNUM|PROCESSID|PURCHMETHOD|PRODUCTIONMETHOD|SOURCING|PARENTLOC|BOMNUM|OFFSET|EFF|LEVELNUM|REVIEWEDSTATUS|CATEGORY|SEVERITY|LASTUPDATEDON|LASTUPDATEDBY|MINVAL|MAXVAL|SCHEDVAL|VIOLATIONVAL|DUR|BAND|PRIORITY|ALTSUBORD|ALTSUBORDLOC|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
Generate Master Plan LpOpt|401|BOM has an invalid parent SKU|5529|10-NOV-2025| |26-JUL-2025|2|100|0|1004|100000000006|50|11501| | | | |0|0|01-JAN-1970|0|1|501|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|BOM has an invalid parent SKU|5529|10-NOV-2025| |26-JUL-2025|3|100|0|1011|100000000006|50|11501| | | | |0|0|01-JAN-1970|0|1|501|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|4| |0|1004|100|50|11501| |100000000004_1004_303| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|5| |0|1004|100|50|11501| |100000000004_1004_303| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|6| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-1_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|7| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-1_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|8| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-1_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|9| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-1_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|10| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-1_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|11| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-1_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|12| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-2_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|13| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-2_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|14| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-2_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|15| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-2_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|16| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-2_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|17| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-2_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|18| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-4_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|19| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-4_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|20| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-4_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|21| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-4_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|22| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-4_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|23| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-4_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|24| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-5_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|25| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-5_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|26| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-5_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|27| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-5_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|28| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-5_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|29| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-5_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|30| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-6_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|31| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-6_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
