ITEM|LOC|CONSTRSTOCKLOWDATE|CONSTRSTOCKLOWDUR|CONSTRSTOCKLOWQTY|CONSTRSTOCKOUTDATE|CONSTRSTOCKOUTQTY|CONSTRSTOCKOUTDUR|MAXCONSTRPROJOHDATE|MAXCONSTRCOVDATE|MAXCONSTRCOVDUR|MAXCONSTRPROJOH|MINCONSTRCOVDATE|MINCONSTRCOVDUR|OPTIONSET|PROCESSDATE|STARTDATE|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
100000000101|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000102|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000103|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002009|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002010|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002014|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-001-049|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-001-050|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-280-869|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-281-396|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-281-424|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-281-446|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-281-452|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-285-609|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-285-610|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-285-677|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-285-678|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-673|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-678|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2001-001-002|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2001-001-003|1020|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000004|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000006|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000024|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000025|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000035|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000036|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000107|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000001001|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002001|1004|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
